# Chemical reaction edges (family C, docs/plan/04). inputs/outputs: itemId:count;...
# verbs: electrolyze(6) distill(8) synthesize(18) polymerize(8) liquefy(6) + fuels(4).
id,inputs,outputs,verb,tier
electrolyze_water,water:2,oxygen_gas:1;hydrogen:2,electrolyze,2
electrolyze_brine,brine:2,chlorine:1;sodium:1;hydrogen:1,electrolyze,2
electrolyze_bauxite,bauxite:2;carbon:1,aluminum_ingot:1;co2_gas:1,electrolyze,2
electrolyze_salt_sodium,salt:2,sodium:1;chlorine:1,electrolyze,2
electrolyze_ammonia,ammonia:2,nitrogen_gas:1;hydrogen:3,electrolyze,3
electrolyze_co2,co2_gas:2,oxygen_gas:1;carbon_powder:1,electrolyze,3
distill_brine,ice:2;salt_ore:1,brine:2,distill,1
distill_water_clean,ice:2,water:2,distill,1
distill_spore,spore_protein:2,spore_extract:2,distill,3
distill_ammonia_ice,ammonia_ice:2,ammonia:2,distill,3
distill_nitrogen_ice,nitrogen_ice:2,nitrogen_gas:2,distill,3
distill_methane_ice,methane_ice:2,methane:2,distill,3
distill_co2_ice,co2_ice:2,co2_gas:2,distill,2
distill_resin,fungal_timber:2,resin:2,distill,3
synth_sulfuric_acid,sulfur:2;water:1,sulfuric_acid:2,synthesize,2
synth_nitric_acid,ammonia:1;oxygen_gas:1,nitric_acid:1,synthesize,3
synth_fertilizer,sulfuric_acid:1;salt:1,fertilizer:2,synthesize,2
synth_growth_medium,water:1;fertilizer:1;algae_seed:1,growth_medium:2,synthesize,2
synth_protein_paste,spore_extract:1;biomass:2,protein_paste:2,synthesize,3
synth_sabatier,hydrogen:4;co2_gas:1,methane:1;water:1,synthesize,3
synth_glass,quartz_sand:2,glass:1,smelt,1
synth_lubricant,methane:2;sulfur:1,lubricant:2,synthesize,3
synth_ammonia_haber,nitrogen_gas:1;hydrogen:3,ammonia:2,synthesize,3
synth_uranium_enrich,crimson_uranite:3;sulfuric_acid:1,enriched_uranium_rod:1,synthesize,4
synth_rocket_fuel,liquid_oxygen:2;liquid_methane:1,rocket_fuel:1,synthesize,3
synth_rocket_fuel_h2,liquid_oxygen:2;liquid_hydrogen:2,rocket_fuel:1,synthesize,3
synth_deuterium_fuel,deuterium_ice:2;lubricant:1,deuterium_fuel:2,synthesize,4
synth_spore_vaccine_base,spore_extract:2;sulfuric_acid:1,growth_medium:1,synthesize,3
polymerize_basic,methane:2;chlorine:1,polymer:2,polymerize,3
polymerize_rubber,methane:2;sulfur:1,synthetic_rubber:2,polymerize,3
polymerize_insulation,polymer:1;quartz_sand:1,insulation_wrap:2,polymerize,3
polymerize_foam,polymer:1;co2_gas:1,insulation_wrap:1,polymerize,3
polymerize_seal,synthetic_rubber:1;aluminum_powder:1,lubricant:1,polymerize,3
liquefy_oxygen,oxygen_gas:2,liquid_oxygen:2,liquefy,3
liquefy_methane,methane:2,liquid_methane:2,liquefy,3
liquefy_hydrogen,hydrogen:2,liquid_hydrogen:2,liquefy,3
liquefy_nitrogen,nitrogen_gas:2,liquid_nitrogen:2,liquefy,3
liquefy_helium3,helium3:2,deuterium_fuel:1,liquefy,4
liquefy_air_split,co2_gas:1;nitrogen_gas:1,liquid_nitrogen:1;oxygen_gas:1,liquefy,3
synth_crude_seal,sulfur:1;fiber:2,crude_seal:2,synthesize,2
synth_bordeaux,copper_powder:1;sulfuric_acid:1,fertilizer:2,synthesize,2
