# Rationale sentence templates per verb (docs/plan/04). Slots: {material} {form} {attr} {use}.
# zh/en apply to matrix recipes (with a form); zh_nf/en_nf are the no-form variants used by
# chem/component recipes ({material} then holds the product name).
template_id,zh,en,zh_nf,en_nf
tpl_crush,"{material}经破碎机粉碎分选,得到便于后续处理的碎料。{attr},{use}。","{material} is crushed and sorted into workable feedstock. {attr}, {use}.","破碎分选出{material}。{attr},{use}。","Crushing and sorting yields {material}. {attr}, {use}."
tpl_smelt,"{material}入炉熔炼提纯,铸成标准锭料。{attr},{use}。","{material} is smelted and cast into standard ingots. {attr}, {use}.","炉内熔炼产出{material}。{attr},{use}。","The furnace run yields {material}. {attr}, {use}."
tpl_alloy,"按配比合炼成{material},冶金性能优于单一金属。{attr},{use}。","Alloyed to spec into {material}; better metallurgy than any single metal. {attr}, {use}.","按配比合炼成{material}。{attr},{use}。","Alloyed to spec into {material}. {attr}, {use}."
tpl_cast_roll,"{material}锭经铸轧成{form}。{attr},{use}。","{material} ingots are cast and rolled into {form}. {attr}, {use}.","铸轧产线产出{material}。{attr},{use}。","The casting line yields {material}. {attr}, {use}."
tpl_draw_wire,"{material}锭经拉丝机拉制成{form}。{attr},{use}。","{material} ingots are drawn into {form}. {attr}, {use}.","拉丝产线产出{material}。{attr},{use}。","The wire mill yields {material}. {attr}, {use}."
tpl_machining,"{material}坯料车铣成型为{form},公差可控。{attr},{use}。","{material} stock is machined into {form} to tolerance. {attr}, {use}.","机加工完成{material},公差可控。{attr},{use}。","{material} is machined to tolerance. {attr}, {use}."
tpl_press,"{material}经压制成{form},结构致密。{attr},{use}。","{material} is pressed into dense {form}. {attr}, {use}.","压制成型得到{material},结构致密。{attr},{use}。","Pressing yields dense {material}. {attr}, {use}."
tpl_electrolyze,"电解{material},分离出高纯产物。{attr},{use}。","Electrolysis splits {material} into pure products. {attr}, {use}.","电解制得{material}。{attr},{use}。","Electrolysis yields {material}. {attr}, {use}."
tpl_distill,"蒸馏提纯{material},馏分各归其用。{attr},{use}。","Distillation refines {material}; each fraction has its use. {attr}, {use}.","蒸馏提纯得到{material}。{attr},{use}。","Distillation yields {material}. {attr}, {use}."
tpl_synthesize,"化工釜内受控反应制得{material},产物配比稳定。{attr},{use}。","A controlled reaction yields {material} at stable ratios. {attr}, {use}.","化工釜内受控反应制得{material}。{attr},{use}。","A controlled reaction yields {material}. {attr}, {use}."
tpl_polymerize,"聚合反应链增长,制得{material}。{attr},{use}。","Chain-growth polymerization builds {material}. {attr}, {use}.","聚合反应制得{material}。{attr},{use}。","Polymerization yields {material}. {attr}, {use}."
tpl_liquefy,"深冷压缩液化制得{material},便于储运与加注。{attr},{use}。","Cryogenic liquefaction yields {material} for storage and fueling. {attr}, {use}.","深冷液化制得{material}。{attr},{use}。","Cryogenic liquefaction yields {material}. {attr}, {use}."
tpl_cultivate,"培养槽内受控增殖,产出{material}。{attr},{use}。","Controlled propagation yields {material}. {attr}, {use}.","培养槽内受控增殖产出{material}。{attr},{use}。","Controlled propagation yields {material}. {attr}, {use}."
tpl_assemble,"装配线完成{material}的组装与检验。{attr},{use}。","The line assembles and checks {material}. {attr}, {use}.","装配线完成{material}的组装与检验。{attr},{use}。","The line assembles and checks {material}. {attr}, {use}."
