# Tech tree (M3-T6): 90 common nodes + 6 faction branch nodes (faction=1 → never self-researchable).
# cost: coreItemId:count;... (empty cost on common nodes = unlocked at start).
id,zh,en,domain,prereqs,cost,recipes,buildings,faction
t0_survival,徒手求生,Hand survival,survival,,,make_bandage;make_carbon_powder;make_copper_lump;make_crude_glass;make_crude_tool;make_fiber;make_insulation_wrap;make_iron_lump;make_preserved_ration;make_ration;make_salt;make_survey_data_core;make_water_melt,,
life_support_1,生保设备 I,Life support I,survival,power_basics,survey_data_core:2,make_b_air_charging_station;make_b_electrolyzer;make_b_gas_pylon;make_b_gas_tank;make_b_greenhouse;make_b_water_purifier;make_grow_biomass;make_oxygen_bottle,air_charging_station;electrolyzer;gas_pylon;gas_tank;greenhouse;water_purifier,
food_hydroponics,水培农业,Hydroponics,survival,life_support_1,survey_data_core:2,make_algae_paste;make_b_canteen;make_b_culture_vat;make_hydroponic_greens;make_seed_kit;synth_growth_medium,canteen;culture_vat,
food_protein,蛋白质链,Protein chain,survival,food_hydroponics,chemistry_data_core:2,distill_spore;make_b_protein_vat;make_nutrient_gel;make_protein_meal;synth_protein_paste,protein_vat,
food_gourmet,精致饮食,Gourmet food,survival,food_protein,chemistry_data_core:1;survey_data_core:1,make_air_freshener;make_combo_meal;make_fungal_snack;make_morale_treat;make_water_bottle,,
medical_basics,基础医疗,Basic medicine,survival,life_support_1,survey_data_core:2,make_b_heater_tower;make_b_med_bay;make_med_kit;make_stim_shot,heater_tower;med_bay,
insulation_suits,保温服,Insulated suits,survival,powered_processing,survey_data_core:2,make_suit_liner;make_thermal_suit,,
rad_protection,辐射防护,Radiation protection,survival,insulation_suits,chemistry_data_core:2,make_lead_lining;make_rad_suit,,
comfort_habitats,舒适居住,Comfort habitats,survival,life_support_1,survey_data_core:2,make_b_dormitory;make_b_family_cabin;make_habitat_frame,dormitory;family_cabin,
morale_venues,士气场所,Morale venues,survival,comfort_habitats,survey_data_core:2;engineering_data_core:1,make_b_bar;make_b_monument;make_b_observatory;make_b_rec_room,bar;monument;observatory;rec_room,
hatchery_tech,人口孵化,Hatchery,survival,medical_basics,survey_data_core:2;chemistry_data_core:1,make_b_hatchery,hatchery,
t0_construction,初始营建,Starter construction,survival,,,make_b_campfire;make_b_crash_pod;make_b_hand_crank;make_b_research_bench;make_b_road;make_b_sleep_pod;make_b_small_storage;make_b_workbench,campfire;crash_pod;hand_crank;research_bench;road;sleep_pod;small_storage;workbench,
power_basics,基础电力,Basic power,industry,t0_survival,survey_data_core:2,make_b_power_pylon;make_b_solar_panel;make_b_wind_turbine,power_pylon;solar_panel;wind_turbine,
power_storage,储能,Power storage,industry,power_basics,survey_data_core:1;engineering_data_core:1,make_b_battery,battery,
powered_processing,动力加工,Powered processing,industry,power_basics,survey_data_core:3,make_b_crusher;make_b_furnace;make_b_press;make_b_roll_mill;make_repair_gel;smelt_copper;smelt_iron;smelt_silicon,crusher;furnace;press;roll_mill,
powered_assembly,自动装配,Powered assembly,industry,powered_processing,engineering_data_core:2,make_b_assembler;make_b_machining_bench;make_engineering_data_core,assembler;machining_bench,
powered_extraction,动力采掘,Powered extraction,industry,power_basics,engineering_data_core:2,make_b_forage_station;make_b_gas_collector;make_b_ice_miner;make_b_miner;make_b_pump_station;make_b_timber_rack,forage_station;gas_collector;ice_miner;miner;pump_station;timber_rack,
forming_basic,基础成形,Basic forming,industry,powered_processing,survey_data_core:2,form_copper_plate;form_copper_wire;form_iron_brick;form_iron_gear;form_iron_plate;form_iron_rod;form_steel_gear;form_steel_mesh;form_steel_pipe;form_steel_plate;form_steel_rod;make_b_wire_mill;make_rivet_set,wire_mill,
forming_advanced,进阶成形,Advanced forming,industry,forming_basic,engineering_data_core:2,form_aluminum_mesh;form_aluminum_plate;form_aluminum_powder;form_aluminum_rod;form_aluminum_wire;form_copper_gear;form_copper_pipe;form_copper_powder;form_copper_rod;form_iron_pipe;form_titanium_gear;form_titanium_plate;form_titanium_powder;form_titanium_rod,,
forming_exotic,特种成形,Exotic forming,industry,forming_advanced;metallurgy_2,engineering_data_core:3,form_bronze_gear;form_bronze_pipe;form_bronze_rod;form_duralumin_mesh;form_invar_rod;form_nickel_pipe;form_nickel_plate;form_nickel_powder;form_platinum_powder;form_rare_earth_powder;form_rare_earth_wire;form_steel_brick;form_titanium_pipe,,
alloys_basic,基础合金,Basic alloys,industry,powered_processing,engineering_data_core:1,alloy_electrical_steel;alloy_steel;form_electrical_steel_gear;form_electrical_steel_wire,,
alloys_light,轻质合金,Light alloys,industry,alloys_basic,engineering_data_core:2,alloy_duralumin;alloy_titanium_alloy;form_duralumin_gear;form_duralumin_plate;form_duralumin_rod;form_duralumin_wire;form_titanium_alloy_gear;form_titanium_alloy_pipe;form_titanium_alloy_plate;form_titanium_alloy_rod,,
metallurgy_2,冶金 II,Metallurgy II,industry,alloys_light,engineering_data_core:2,alloy_bronze;alloy_invar;electrolyze_bauxite;form_invar_gear;form_invar_pipe;form_invar_plate;smelt_nickel;smelt_rare_earth,,
alloys_exotic,特种合金,Exotic alloys,industry,metallurgy_2,engineering_data_core:3;chemistry_data_core:1,alloy_aurite_steel;alloy_platinum_mesh_alloy;form_aurite_steel_pipe;form_aurite_steel_plate;form_aurite_steel_rod;form_platinum_mesh_alloy_mesh;smelt_aurite;smelt_platinum,,
machining_tech,机加工,Machining,industry,powered_assembly,engineering_data_core:2,make_control_console;make_gear_assembly;make_machined_parts;make_pump;make_small_nozzle;make_valve,,
deep_drilling,深井钻探,Deep drilling,industry,powered_extraction,engineering_data_core:3,make_b_deep_drill;make_b_tailings_crusher;smelt_aluminum;smelt_titanium,deep_drill;tailings_crusher,
recycling,回收利用,Recycling,industry,powered_processing,survey_data_core:2,make_b_recycler;make_filter_cartridge,recycler,
geothermal,地热能,Geothermal power,industry,deep_drilling,engineering_data_core:3,make_b_geothermal_well,geothermal_well,
nuclear_power,核能,Nuclear power,industry,enrichment;alloys_exotic,engineering_data_core:4;chemistry_data_core:2,make_b_nuclear_reactor,nuclear_reactor,
arc_smelting,电弧冶炼,Arc smelting,industry,alloys_basic,engineering_data_core:2,make_b_arc_furnace;make_heating_rod,arc_furnace,
chem_basics,化学基础,Basic chemistry,chemistry,powered_processing,survey_data_core:2;engineering_data_core:1,distill_brine;distill_water_clean;electrolyze_brine;electrolyze_salt_sodium;electrolyze_water;make_b_chem_electrolyzer;make_b_chem_reactor;make_chemistry_data_core;synth_sulfuric_acid,chem_electrolyzer;chem_reactor,
distillation,蒸馏,Distillation,chemistry,chem_basics,chemistry_data_core:1;survey_data_core:1,distill_ammonia_ice;distill_co2_ice;distill_methane_ice;distill_nitrogen_ice;distill_resin;make_b_distiller,distiller,
synthesis_1,化学合成 I,Synthesis I,chemistry,chem_basics,chemistry_data_core:2,synth_crude_seal;synth_fertilizer;synth_glass,,
synthesis_2,化学合成 II,Synthesis II,chemistry,synthesis_1,chemistry_data_core:2,electrolyze_ammonia;electrolyze_co2;synth_ammonia_haber;synth_lubricant;synth_nitric_acid;synth_spore_vaccine_base,,
polymers,聚合物,Polymers,chemistry,synthesis_2,chemistry_data_core:3,make_b_polymer_reactor;make_gasket_set;make_seal_ring;polymerize_basic;polymerize_foam;polymerize_insulation;polymerize_rubber;polymerize_seal,polymer_reactor,
sealing_tech,密封技术,Sealing,chemistry,synthesis_1,chemistry_data_core:1,make_fiber_optic,,
sabatier_tech,萨巴蒂尔反应,Sabatier process,chemistry,synthesis_2,chemistry_data_core:2;engineering_data_core:1,make_b_sabatier_reactor;synth_sabatier,sabatier_reactor,
cryogenics,深冷技术,Cryogenics,chemistry,sabatier_tech,chemistry_data_core:3,liquefy_air_split;liquefy_hydrogen;liquefy_methane;liquefy_nitrogen;liquefy_oxygen;make_b_cryo_liquefier;make_b_refinery;make_cryo_pump,cryo_liquefier;refinery,
fuels,火箭燃料,Rocket fuels,chemistry,cryogenics,chemistry_data_core:2;astro_data_core:1,liquefy_helium3;synth_deuterium_fuel;synth_rocket_fuel;synth_rocket_fuel_h2,,
enrichment,同位素浓缩,Enrichment,chemistry,synthesis_2,chemistry_data_core:3;engineering_data_core:1,synth_uranium_enrich,,
glassworks,玻璃与光学,Glassworks,chemistry,powered_processing,survey_data_core:2,make_lens;make_mirror,,
electronics_1,电子学 I,Electronics I,chemistry,glassworks,engineering_data_core:2,make_antenna;make_basic_circuit,,
electronics_2,电子学 II,Electronics II,chemistry,electronics_1;polymers,engineering_data_core:3,make_advanced_circuit;make_optical_sensor;make_pressure_sensor;make_thermal_sensor,,
electronics_3,电子学 III,Electronics III,chemistry,electronics_2;alloys_exotic,engineering_data_core:4;astro_data_core:1,make_quantum_circuit,,
battery_chem,电池化学,Battery chemistry,chemistry,electronics_1,chemistry_data_core:2,make_battery_cell;make_battery_pack,,
catalysis,催化技术,Catalysis,chemistry,synthesis_2,chemistry_data_core:3,synth_bordeaux,,
hauler_bots,搬运蛛,Hauler bots,logistics,powered_assembly,engineering_data_core:3,make_b_bot_station;make_hauler_bot,bot_station,
drone_ports,无人机港,Drone ports,logistics,hauler_bots,engineering_data_core:2,make_b_drone_port;make_courier_drone;make_drone_rotor,drone_port,
charging_infra,回充设施,Charging infrastructure,logistics,hauler_bots,engineering_data_core:1,make_b_charging_post,charging_post,
logistics_planning,物流规划,Logistics planning,logistics,hauler_bots,engineering_data_core:2,make_builder_bot;make_miner_bot,,
bulk_storage,大宗仓储,Bulk storage,logistics,logistics_planning,survey_data_core:2,make_b_large_storage;make_structural_panel,large_storage,
fluid_handling,流体储运,Fluid handling,logistics,chem_basics,engineering_data_core:2,make_b_fluid_tank,fluid_tank,
beacon_nav,信标导航,Beacon navigation,logistics,radio_basics,astro_data_core:1,make_b_landing_beacon,landing_beacon,
spaceport_ops,星港调度,Spaceport operations,logistics,rocketry_2,astro_data_core:2,make_b_spaceport_tower,spaceport_tower,
orbital_docking,轨道停靠,Orbital docking,logistics,spaceport_ops,astro_data_core:3,make_b_orbital_dock,orbital_dock,
expedition_gear,拓荒装备,Expedition gear,logistics,powered_assembly,engineering_data_core:2,make_b_gas_turbine;make_heavy_motor;make_motor;make_rover_kit;make_small_motor,gas_turbine,
field_kits,随身装具,Field kits,logistics,insulation_suits,survey_data_core:2,make_colonist_supplies,,
cartography,测绘学,Cartography,logistics,radio_basics,survey_data_core:3,make_b_survey_radar,survey_radar,
radio_basics,无线电,Radio basics,astronautics,powered_assembly,engineering_data_core:2,make_comms_array_module,,
comms_arrays,通讯阵列,Comms arrays,astronautics,radio_basics,astro_data_core:2,make_b_comms_array,comms_array,
heat_shielding,热防护,Heat shielding,astronautics,forming_advanced,astro_data_core:1,make_heat_shield_tile;make_radiator_fin,,
rocketry_1,火箭学 I,Rocketry I,astronautics,fuels;heat_shielding,astro_data_core:2,make_chem_engine;make_engine_nozzle;make_fairing;make_fuel_injector;make_fuel_tank_module;make_rocket_frame_1,,
rocketry_2,火箭学 II,Rocketry II,astronautics,rocketry_1,astro_data_core:2,make_heavy_frame;make_light_frame;make_nav_pod;make_rocket_frame_2;make_truss_section,,
rocketry_3,火箭学 III,Rocketry III,astronautics,rocketry_2,astro_data_core:3,make_heavy_nozzle;make_hull_panel;make_nav_pod_deep;make_rocket_frame_3,,
payload_cargo,货运载荷,Cargo payloads,astronautics,rocketry_1,astro_data_core:1,make_cargo_pod,,
payload_colonist,殖民载荷,Colonist payloads,astronautics,rocketry_2,astro_data_core:2,make_colonist_pod,,
payload_satellite,卫星载荷,Satellite payloads,astronautics,comms_arrays;rocketry_1,astro_data_core:2,make_satellite_pod,,
outpost_kits,前哨包,Outpost kits,astronautics,payload_cargo,astro_data_core:2,make_outpost_kit,,
launch_infra,发射设施,Launch infrastructure,astronautics,rocketry_1,astro_data_core:2,make_b_fueling_station;make_b_launch_pad;make_b_rocket_gantry,fueling_station;launch_pad;rocket_gantry,
astro_sensors,深空传感,Deep-space sensing,astronautics,electronics_2,astro_data_core:2,make_astro_data_core;make_nav_sensor_suite,,
deep_space_telescope,深空望远镜,Deep-space telescope,astronautics,astro_sensors;electronics_3,astro_data_core:3,make_b_deep_space_telescope,deep_space_telescope,
gas_platform,轨道气矿,Orbital gas mining,astronautics,orbital_docking,astro_data_core:3;engineering_data_core:2,make_b_orbital_gas_platform,orbital_gas_platform,
warp_beacon_1,跃迁灯塔 I,Warp beacon I,astronautics,electronics_3;fuels,astro_data_core:4,make_b_warp_beacon,warp_beacon,
warp_beacon_2,跃迁灯塔 II,Warp beacon II,astronautics,warp_beacon_1,astro_data_core:4;chemistry_data_core:2,,,
warp_beacon_3,跃迁灯塔 III,Warp beacon III,astronautics,warp_beacon_2,astro_data_core:5;engineering_data_core:3,,,
spacefaring_ops,航天运维,Spacefaring ops,astronautics,launch_infra,astro_data_core:2,make_heavy_engine,,
defense_basics,基础防御,Basic defense,defense,powered_processing,military_data_core:1;survey_data_core:1,make_kinetic_round,,
ammo_tech,弹药工艺,Ammunition,defense,defense_basics,military_data_core:2,make_b_ammo_line,ammo_line,
sentry_guns,哨戒炮,Sentry guns,defense,ammo_tech,military_data_core:2,make_b_sentry_gun,sentry_gun,
laser_defense,激光防御,Laser defense,defense,sentry_guns;glassworks,military_data_core:3,make_b_laser_tower;make_laser_cavity,laser_tower,
shield_tech,护盾技术,Shield tech,defense,laser_defense;alloys_exotic,military_data_core:4,make_b_shield_dome;make_shield_emitter,shield_dome,
combat_bots,战斗蛛,Combat bots,defense,hauler_bots;ammo_tech,military_data_core:3,make_combat_bot,,
bot_works,战斗蛛工坊,Combat bot works,defense,combat_bots,military_data_core:2,make_b_combat_bot_works,combat_bot_works,
military_intel,军情记录,Military intelligence,defense,radio_basics,military_data_core:2,make_data_recorder;make_military_data_core,,
orbital_strike,轨道打击,Orbital strike,defense,rocketry_2;ammo_tech,military_data_core:4;astro_data_core:2,make_orbital_penetrator,,
fortification,工事加固,Fortification,defense,defense_basics,military_data_core:2,make_b_wall,wall,
armor_materials,装甲材料,Armor materials,defense,shield_tech,military_data_core:3,make_combat_frame,,
signals,信号装备,Signal gear,defense,defense_basics,survey_data_core:1,make_emergency_beacon;make_firework,,
burial_rites,安葬礼仪,Burial rites,defense,t0_survival,survey_data_core:1,make_grave_marker,,
